,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Ansonia,18656,36,1,10,11,14,277,14,220,43,1
1,Avon,18320,4,0,0,1,3,209,15,182,12,0
2,Berlin,20500,19,0,2,5,12,251,40,196,15,1
3,Bethel,19855,6,2,1,1,2,125,13,108,4,0
4,Bloomfield,21406,27,1,5,5,16,500,21,431,48,0
5,Branford,28002,9,0,2,4,3,386,30,326,30,0
6,Bridgeport,144908,843,17,71,392,363,2465,555,1292,618,13
7,Bristol,59977,53,1,8,21,23,822,113,603,106,2
8,Brookfield,17071,4,0,1,1,2,143,6,134,3,0
9,Canton,10267,5,0,1,0,4,56,4,45,7,0
10,Cheshire,29167,13,1,4,2,6,207,14,172,21,0
11,Clinton,12914,12,0,5,3,4,232,21,207,4,0
12,Coventry,12411,12,0,6,1,5,132,16,103,13,0
13,Cromwell,13894,5,0,1,2,2,363,21,326,16,3
14,Danbury,85167,97,1,15,28,53,1045,132,827,86,4
15,Darien,21880,3,0,0,1,2,267,29,206,32,0
16,Derby,12468,24,0,4,11,9,240,39,179,22,2
17,East Hampton,12842,3,0,0,3,0,104,10,84,10,0
18,East Hartford,49842,76,1,18,31,26,775,109,525,141,8
19,East Haven,28635,36,0,7,11,18,572,58,454,60,0
20,East Lyme,18588,8,0,1,1,6,83,12,54,17,1
21,Easton,7519,0,0,0,0,0,42,13,21,8,0
22,East Windsor,11399,14,1,1,4,8,275,39,219,17,0
23,Enfield2,44443,49,1,12,6,30,606,59,497,50,2
24,Fairfield,62239,31,1,3,13,14,941,96,791,54,0
25,Farmington,25525,6,0,2,3,1,599,107,464,28,1
26,Glastonbury,34497,22,0,3,5,14,327,35,270,22,1
27,Granby,11386,0,0,0,0,0,64,3,58,3,0
28,Greenwich,62905,22,0,4,4,14,471,65,348,58,0
29,Groton,8967,16,0,4,0,12,99,26,70,3,2
30,Groton Long Point,509,0,0,0,0,0,3,1,2,0,0
31,Groton Town,29046,34,1,10,2,21,304,37,249,18,2
32,Guilford,22194,10,0,4,1,5,201,14,176,11,3
33,Hamden,60855,199,2,9,45,143,1328,109,1047,172,1
34,Hartford,122245,1049,21,31,271,726,3424,427,2464,533,50
35,Ledyard,14698,6,0,4,0,2,73,15,53,5,1
36,Madison,18087,0,0,0,0,0,65,3,50,12,1
37,Manchester2,57630,100,1,16,46,37,1376,143,1135,98,1
38,Meriden,59378,157,3,19,38,97,1020,178,719,123,7
39,Middlebury,7750,2,0,0,0,2,64,9,47,8,0
40,Middletown,45963,38,0,5,10,23,613,62,474,77,0
41,Milford,54898,29,1,0,16,12,1028,95,853,80,1
42,Monroe,19466,3,0,2,1,0,84,12,66,6,1
43,Naugatuck,31214,30,0,10,9,11,441,48,372,21,3
44,New Britain2,72354,306,3,44,66,193,1195,188,826,181,7
45,New Canaan,20268,2,0,0,0,2,101,14,80,7,0
46,New Haven,130494,1168,13,45,321,789,4958,659,3580,719,28
47,Newington,30060,24,0,2,14,8,646,65,530,51,0
48,New London,26856,79,0,19,32,28,461,90,329,42,4
49,New Milford,26835,15,0,9,0,6,181,2,173,6,1
50,Newtown,27795,6,0,0,1,5,57,11,45,1,1
51,North Branford,14127,8,0,4,3,1,99,10,79,10,0
52,North Haven,23642,11,0,0,5,6,361,57,268,36,1
53,Norwalk,89440,183,1,8,29,145,1247,133,989,125,4
54,Norwich,38964,149,0,26,22,101,533,112,368,53,5
55,Old Saybrook,10069,2,0,0,0,2,69,5,59,5,0
56,Orange,13948,4,0,0,3,1,370,25,326,19,0
57,Plainfield,15145,18,1,9,1,7,37,3,29,5,0
58,Plainville,17610,33,0,1,3,29,348,18,309,21,0
59,Plymouth,11573,2,0,0,1,1,110,10,84,16,0
60,Portland,9281,4,0,1,0,3,38,3,26,9,0
61,Putnam,9374,18,0,9,0,9,72,9,56,7,2
62,Redding,9120,2,0,1,1,0,35,9,26,0,0
63,Ridgefield,25050,1,0,0,0,1,72,12,53,7,0
64,Rocky Hill,20199,12,1,7,2,2,212,21,166,25,0
65,Seymour,16505,9,0,2,4,3,104,20,73,11,2
66,Shelton,41287,22,0,8,7,7,304,61,219,24,1
67,Simsbury,25169,3,0,1,2,0,146,5,121,20,0
68,Southington,43886,26,0,2,6,18,542,87,407,48,1
69,South Windsor,26097,13,0,5,4,4,332,50,255,27,2
70,Stamford,130678,264,5,27,87,145,1803,196,1446,161,1
71,Stonington,18439,15,2,3,0,10,159,31,126,2,0
72,Stratford,52034,71,1,13,25,32,859,97,654,108,4
73,Suffield,15740,5,0,2,1,2,62,13,39,10,0
74,Thomaston,7521,4,0,1,1,2,58,6,46,6,0
75,Torrington,33972,36,0,12,5,19,372,53,289,30,2
76,Trumbull,35772,45,0,7,15,23,778,53,692,33,1
77,Vernon,29318,16,0,5,3,8,307,50,211,46,0
78,Wallingford,44457,17,0,6,1,10,291,35,237,19,1
79,Waterbury,107812,325,5,53,124,143,3263,450,2272,541,12
80,Waterford,18812,8,0,4,1,3,189,10,174,5,0
81,Watertown,21534,13,3,3,2,5,284,26,221,37,0
82,West Hartford,62875,36,0,1,30,5,1406,130,1192,84,1
83,West Haven,54794,85,1,21,29,34,1091,96,828,167,3
84,Weston,10254,0,0,0,0,0,15,1,14,0,0
85,Westport,28332,4,0,0,2,2,193,20,152,21,0
86,Wethersfield,26009,23,0,4,8,11,351,39,272,40,1
87,Willimantic,17660,22,0,7,6,9,119,18,85,16,1
88,Wilton,18439,4,0,0,0,4,109,13,89,7,0
89,Winchester,10585,7,0,3,3,1,85,24,56,5,0
