,state,latitude,longitude,crime_index
Belfield,nd,-103.1996219,46.8852906,1.0505836575875487
Berthold,nd,-101.737108,48.313069,1.0140845070422535
Beulah,nd,-101.777946,47.26334,1.01375
Bismarck,nd,-100.783739,46.808327,1.0618566361020012
Bowman,nd,-103.5086625,46.1010498,1.0211970074812968
Burlington,nd,-73.212906,44.4761601,1.0186536901865368
Carrington,nd,-99.126224,47.44972,1.013131313131313
Cavalier,nd,-98.5001391,48.7664381,1.019952114924182
Devils Lake,nd,-98.86512,48.112779,1.0808884014258295
Dickinson,nd,-97.1893341,38.8790615,1.0429827556769677
Ellendale,nd,-98.527046,46.00275,1.0163532297628781
Emerado,nd,-97.3650837,47.918875,1.0657894736842106
Fargo,nd,-96.789821,46.877229,1.0717452893119765
Fessenden,nd,-99.629289,47.649168,1.0339366515837105
Grafton,nd,152.9333435,-29.69125,1.0376447876447876
Grand Forks,nd,-97.0592028,47.9078244,1.0556222697923736
Harvey,nd,-97.4486267,38.0352315,1.0190136660724896
Hazen,nd,-101.622665,47.294448,1.010771219302025
Jamestown,nd,-76.7738928,37.2104434,1.0475062508224766
Kenmare,nd,-102.082664,48.674748,1.0287128712871287
Killdeer,nd,-102.754122,47.371987,1.0412201154163232
Lincoln,nd,-96.7077751,40.8088861,1.0112895132965378
Lisbon,nd,-9.1365919,38.7077507,1.0402750491159136
Mandan,nd,-100.889704,46.826415,1.0660090387623848
Medora,nd,-90.1431654,39.1744908,1.1846153846153846
Minot,nd,4.8786165,47.6698594,1.0469648230777213
Napoleon,nd,-84.1252243,41.3922726,1.036697247706422
New Town,nd,-3.1989995,55.9554575,1.0225104921785577
Northwood,nd,-93.2210371,43.4441245,1.0486725663716814
Oakes,nd,-98.090379,46.138579,1.0301062573789848
Powers Lake,nd,-102.647957,48.562804,1.10752688172043
Ray,nd,-93.9888262,39.3661726,1.0404157043879907
Rolette,nd,-99.8380336,48.7419695,1.0601001669449082
Rugby,nd,-1.2620038,52.3726682,1.036076662908681
Stanley,nd,-57.84522966123792,-51.69487225,1.0149306789904018
Steele,nd,-93.2203671,44.0137336,1.0691114245416078
Surrey,nd,-0.3414523511290909,51.2715316,1.0262975778546712
Thompson,nd,-97.863464,55.743347,1.0381978452497551
Tioga,nd,-102.938238,48.397244,1.0378279438682123
Valley City,nd,-98.003155,46.923313,1.0554243426232088
Wahpeton,nd,-96.608863,46.265879,1.0647574819401444
Watford City,nd,-103.283247,47.802241,1.0448868991517437
West Fargo,nd,-96.900362,46.874967,1.0346074244845564
Williston,nd,-103.621814,48.1465457,1.0658012842643099
Wishek,nd,-99.557057,46.256918,1.0629750271444083
