,state,latitude,longitude,crime_index
Bethany Beach,de,-75.0588646,38.5379676,1.132636655948553
Blades,de,-75.6093632,38.6356605,1.0374404356705242
Bridgeville,de,-80.1100556,40.3561805,1.074781886165351
Camden,de,-75.1198911,39.9448402,1.1023666951810664
Cheswold,de,-75.5857596,39.2192786,1.0427089688834654
Clayton,de,-91.3667151,42.8547706,1.0258120649651972
Dagsboro,de,-75.2457443,38.5492801,1.0436681222707425
Delaware City,de,-75.588815,39.5778901,1.0726775956284154
Delmar,de,-90.6070804,42.0022453,1.079034028540066
Dewey Beach,de,-75.0752724,38.691184,1.1395939086294415
Dover,de,1.3134228,51.1251275,1.125127082192852
Ellendale,de,-98.527046,46.00275,1.0923423423423424
Elsmere,de,-84.6046663,39.0125608,1.0503102465202079
Felton,de,-96.5063642,47.0785258,1.0359154929577465
Georgetown,de,-58.1624465,6.8137426,1.0957925377083884
Greenwood,de,-96.2471338,37.8709542,1.0571177504393674
Harrington,de,-75.5777033,38.9237244,1.0657174151150055
Laurel,de,-89.13382003619111,31.74096,1.1322443499664354
Lewes,de,0.005115324110936268,50.8746139,1.0353012781497262
Middletown,de,-72.6509061,41.5623178,1.0457125525369384
Milford,de,-73.0570603,41.2222218,1.1171497584541064
Millsboro,de,-75.2913018,38.5915023,1.1142793987621573
Milton,de,-87.0396881,30.6324149,1.0364600596619158
Newark,de,-74.1723667,40.735657,1.0473834555467207
New Castle,de,-80.3471856,40.9999202,1.0928391507736597
Newport,de,-71.3137707,41.4899827,1.090643274853801
Ocean View,de,-75.0890709,38.5451122,1.0302752293577981
Rehoboth Beach,de,-75.0835107,38.7164771,1.1959896507115135
Seaford,de,-75.6114584,38.6413452,1.1401026668336045
Selbyville,de,-75.2216048,38.4606407,1.05
Smyrna,de,27.1434119,38.4147331,1.0497960571040108
Wilmington,de,-75.546589,39.7459468,1.1196335523334844
Wyoming,de,-107.568534,43.1700264,1.0549520766773164
