,state,latitude,longitude,crime_index
Adel,ia,-94.0185176,41.6174123,1.0471183800623054
Albia,ia,-92.8057514,41.0266746,1.0424161073825504
Algona,ia,-94.233019,43.0699663,1.0192130057269537
Ames,ia,2.4086536,50.536715,1.0383516274162112
Atlantic,ia,-95.0138776,41.4036007,1.0635554190973289
Audubon,ia,-94.9106526,41.670205,1.0419543281996813
Bettendorf,ia,7.2770871,47.5852476,1.0282916801904143
Bloomfield,ia,-92.4149074,40.7516884,1.021111111111111
Boone,ia,-88.8235511,42.321246,1.029241645244216
Carlisle,ia,-2.9362311,54.8948478,1.024688509460083
Carroll,ia,-89.9556785,42.0647352,1.0388746803069053
Cedar Rapids,ia,-91.6704053,41.9758872,1.0720410127829143
Centerville,ia,-95.9785301,31.2578221,1.0542223850522074
Charles City,ia,-92.6724112,43.0663613,1.0233160621761659
Clarinda,ia,-95.036958,40.7390162,1.0426008968609866
Clarion,ia,-93.7322077,42.7313392,1.0304140710883107
Clear Lake,ia,-93.3792003,43.1380915,1.0452680344142953
Clinton,ia,-89.420064,38.5896187,1.0798975262188777
Clive,ia,-93.7754644,41.6096559,1.0158335741115285
Coralville,ia,-91.5804475,41.6764044,1.0697980485591105
Council Bluffs,ia,-95.8613912,41.2621283,1.1333717782369808
Creston,ia,-94.3613475,41.0586002,1.051644398766701
Davenport,ia,-90.5776368,41.5236436,1.0888057660754746
Decorah,ia,-91.7859098,43.3041609,1.025235755080356
Denison,ia,-96.536658,33.7556593,1.0211527035056447
Des Moines,ia,-93.6046655,41.5910323,1.0964081617700931
DeWitt,ia,-97.3158457,29.0931328,1.0487094896176985
Dubuque,ia,-90.6647985,42.5006243,1.0372069756610836
Dyersville,ia,-91.1229136,42.4844404,1.0226148409893994
Eldridge,ia,-90.5845823,41.6580864,1.0167814113597247
Emmetsburg,ia,-94.6830357,43.1127427,1.0298022216201572
Estherville,ia,-94.832764,43.4016255,1.0197896238188626
Evansdale,ia,-92.2803174,42.4685957,1.0567465321563683
Forest City,ia,-93.6371591,43.2624559,1.0161050545094152
Fort Dodge,ia,-94.1680158,42.4974694,1.0704959746381346
Fort Madison,ia,-91.3151908,40.6299403,1.0562933025404158
Glenwood,ia,-87.6022765,41.5424867,1.0409697425295996
Grinnell,ia,-100.629031,39.12723,1.0481088610307512
Hampton,ia,-76.3452057,37.0300969,1.018540527691942
Harlan,ia,-99.4349368,40.1617382,1.0152210175145955
Hawarden,ia,-106.5991161,51.4137766,1.027833803953207
Hiawatha,ia,-91.6865902,42.0482764,1.043811315683376
Humboldt,ia,-123.8997734,40.5997415,1.0301441677588468
Independence,ia,-94.4137923,39.0924792,1.040749260598094
Indianola,ia,-90.6550917,33.4509513,1.0561749307052664
Iowa City,ia,-91.5299106,41.6612561,1.0372787181806435
Iowa Falls,ia,-93.2636705,42.5210019,1.0467439073112266
Jefferson,ia,-94.1704496,29.834772,1.0332282318699977
Johnston,ia,-93.6973395,41.6731523,1.0288004227584993
Lake City,ia,-92.2678663,44.4478474,1.0588235294117647
Lansing,ia,-84.5553805,42.7337712,1.1020191285866099
Le Mars,ia,-96.1653015,42.7944184,1.0431223797165103
Manchester,ia,-2.2451148,53.4794892,1.0494150867285195
Maquoketa,ia,-90.6656659,42.069102,1.0602813127930342
Marion,ia,-94.344488,32.7931661,1.0302619915295972
Marshalltown,ia,-92.9123388,42.0442545,1.0601807273535293
Mason City,ia,-93.2010367,43.1535728,1.073732206405694
Missouri Valley,ia,-95.8877881,41.556381,1.0663089306247604
Monticello,ia,8.9546269,42.617236,1.0441251924063621
Mount Pleasant,ia,-94.9694007,33.1570582,1.0449194193622129
Mount Vernon,ia,-88.9031201,38.3172715,1.0276466621712745
Muscatine,ia,-91.1210053,41.4776121,1.0335390169164254
Nevada,ia,-116.8537227,39.5158825,1.0427046263345197
North Liberty,ia,-91.5972564,41.748868,1.0221547346410436
Norwalk,ia,-73.4078968,41.1175966,1.0211439642827058
Oelwein,ia,-91.9135036,42.6733171,1.0480801902820251
Onawa,ia,-96.0974287,42.0268093,1.056118754525706
Osage,ia,-95.72899791492327,38.65235,1.0251554550593556
Osceola,ia,-81.1437541,28.0443842,1.0700612557427258
Oskaloosa,ia,-92.6449612,41.2963365,1.0512483574244416
Ottumwa,ia,-92.4112963,41.0200145,1.0966595883698138
Pella,ia,8.3847792,45.8016249,1.0335784788078188
Perry,ia,-89.3760499,38.0772859,1.0396173022503705
