,state,latitude,longitude,crime_index
Ansonia,ct,-73.0787468,41.3429922,1.0336084905660377
Avon,ct,2.7207225,48.4048867,1.0233078602620087
Berlin,ct,13.3888599,52.5170365,1.0264878048780488
Bethel,ct,-161.7558333,60.7922222,1.0133467640392848
Bloomfield,ct,-92.4149074,40.7516884,1.0494253947491357
Branford,ct,-72.8150989,41.2795414,1.0283908292264838
Bridgeport,ct,-73.2048348,41.1670412,1.0457876721782096
Bristol,ct,-2.5972985,51.4538022,1.0293279090317955
Brookfield,ct,-87.848085,41.8228378,1.0176908206900592
Canton,ct,-95.8640507,32.555664,1.0127593259959091
Cheshire,ct,-2.471770086071205,53.2141028,1.015428395104056
Clinton,ct,-89.420064,38.5896187,1.038640235403438
Coventry,ct,-1.510477,52.4081812,1.0241721053903794
Cromwell,ct,-94.4619067,41.0394328,1.0541240823376998
Danbury,ct,-73.4540111,41.394817,1.0270292484178145
Darien,ct,-73.4692873,41.0787079,1.02536563071298
Derby,ct,-1.4761491,52.9212617,1.0437921077959575
East Hampton,ct,-72.1847598,40.9633868,1.0179878523594457
East Hartford,ct,-72.6120346,41.7823216,1.0346695557963164
East Haven,ct,-72.8684337,41.2762081,1.0431290378906932
East Lyme,ct,-72.2258709,41.3569909,1.0109210243167635
Easton,ct,-75.2099866,40.6916081,1.0139646229551802
East Windsor,ct,-72.6130726,41.9156316,1.0526361961575577
Enfield,ct,-0.0810175,51.6520851,1.0300384762504782
Fairfield,ct,-122.039966,38.2493581,1.0316200453092113
Farmington,ct,-93.1435497,44.6402434,1.0484231145935357
Glastonbury,ct,-2.716577,51.14804,1.0210163202597327
Granby,ct,-72.721834,45.3990409,1.013613209204286
Greenwich,ct,-0.0045417,51.4820845,1.016119545346157
Groton,ct,-72.0761998,41.3501598,1.029106724657076
Groton Long Point,ct,-72.0078517,41.3145432,1.0707269155206287
Groton Town,ct,-76.3599188141022,42.5848529,1.0244095572540108
Guilford,ct,-72.6817616,41.2889866,1.0205911507614671
Hamden,ct,-74.9946083,42.1911969,1.0507435707830088
